LR,LRDecay,MaxEpoch,StopCount,Reward,Mispredictions
0.1,1,200,3,-77.82,16.58
0.03,0.97,100,1000,-77.92,15.38
0.3,1,200,1000,-78.28,16.9
0.3,1,300,1000,-78.31,16.73
0.03,1,200,3,-78.57,17.53
0.3,1,100,1000,-78.87,15.4
0.03,0.97,300,3,-78.87,23.4
1,0.97,100,3,-79.44,21.17
0.3,1,300,3,-79.45,16.23
0.1,0.97,200,1000,-79.5,16.81
0.01,0.97,100,1000,-80.07,19.27
0.03,1,100,3,-80.19,22.18
1,0.97,200,1000,-80.23,20.49
0.1,0.97,300,1000,-80.31,18.82
0.3,1,100,3,-80.44,19.54
0.01,1,200,3,-80.61,18.44
0.03,1,100,1000,-80.62,26.54
0.3,0.97,100,1000,-80.71,18.05
0.01,0.97,200,1000,-80.75,20.11
0.1,1,100,3,-80.84,16.06
0.1,1,300,1000,-81.06,17.72
0.03,1,200,1000,-81.14,24.06
0.1,1,300,3,-81.35,15.98
0.01,1,300,1000,-81.59,26.17
1,1,100,3,-81.62,16.49
0.3,0.97,300,3,-81.65,16.68
0.3,1,200,3,-82.01,18.01
1,0.97,300,3,-82.18,17.02
0.3,0.97,200,3,-82.34,18.61
0.1,0.97,100,3,-82.36,20.6
0.03,0.97,300,1000,-82.4,20.53
1,0.97,100,1000,-82.55,20
0.3,0.97,100,3,-82.63,18.09
0.01,1,100,1000,-82.69,20.09
1,0.97,200,3,-82.86,19.45
0.01,0.97,300,1000,-83.03,21.04
0.1,0.97,100,1000,-83.39,19.73
1,1,100,1000,-83.44,22.54
0.1,0.97,300,3,-83.74,19.85
0.03,0.97,100,3,-83.79,23.33
0.01,0.97,200,3,-83.83,17.87
0.01,0.97,300,3,-83.85,18.99
0.1,1,100,1000,-83.86,17.72
0.3,0.97,200,1000,-83.96,31.51
1,1,200,1000,-84.46,20.71
0.1,0.97,200,3,-84.61,26.26
0.03,0.97,200,1000,-84.79,19.48
0.3,0.97,300,1000,-84.91,15.7
0.03,1,300,3,-85.21,22.58
1,1,300,1000,-85.53,25.51
0.01,1,300,3,-85.6,18.91
1,1,300,3,-85.7,24.07
0.03,1,300,1000,-85.75,18.79
0.01,0.97,100,3,-85.95,29.09
0.1,1,200,1000,-86.28,21.47
1,1,200,3,-86.3,28.75
0.01,1,200,1000,-86.63,14.41
0.03,0.97,200,3,-86.8,28.49
1,0.97,300,1000,-86.98,20.59
0.01,1,100,3,-88.26,17.31
