LR,LRDecay,MaxEpoch,StopCount,Reward,Mispredictions
0.1,1,200,3,-76.89,17.88
0.3,0.97,300,1000,-78.39,17.75
1,0.97,200,1000,-78.45,18.24
0.3,0.97,200,3,-78.54,17.93
0.3,0.97,100,3,-79.01,16.5
0.03,0.97,300,1000,-79.16,17.23
0.01,1,100,1000,-79.31,15.59
1,0.97,200,3,-79.47,23.8
0.1,0.97,200,3,-79.74,18.78
1,0.97,300,3,-79.81,15.78
0.1,1,300,3,-80.07,16.37
0.1,0.97,200,1000,-80.07,19.87
0.01,0.97,200,3,-80.1,17.41
0.3,1,300,1000,-80.13,17.01
0.1,1,200,1000,-80.17,18.06
0.3,0.97,200,1000,-80.39,16.96
0.3,1,200,3,-80.5,19.85
0.1,0.97,300,1000,-80.88,17.97
0.03,0.97,100,1000,-80.95,20.05
0.03,1,100,1000,-80.97,22.07
0.03,0.97,300,3,-81.11,15.99
0.01,0.97,100,3,-81.22,17.71
0.01,1,300,3,-81.37,16.41
0.01,0.97,100,1000,-81.43,17.2
1,1,100,3,-81.57,17.62
0.3,1,100,1000,-81.71,16.49
0.03,1,300,3,-81.85,17.51
1,0.97,300,1000,-82,21.88
0.01,0.97,200,1000,-82.04,24.72
0.03,1,100,3,-82.09,16.79
0.1,1,100,1000,-82.72,24.74
0.1,0.97,100,3,-82.8,22.06
1,1,100,1000,-82.81,19.58
0.3,1,300,3,-83.06,17.26
0.3,0.97,100,1000,-83.07,17.93
0.01,0.97,300,3,-83.48,20.48
1,0.97,100,3,-83.61,18.08
0.03,0.97,200,3,-83.66,21.24
0.1,1,100,3,-83.8,19.25
0.03,0.97,100,3,-83.92,25.78
0.03,1,300,1000,-84.18,17.43
0.3,1,200,1000,-84.58,15.02
0.3,1,100,3,-84.69,16.99
1,0.97,100,1000,-84.79,19.1
0.03,1,200,1000,-84.83,29.71
0.01,1,300,1000,-84.92,26.33
0.3,0.97,300,3,-85,15.47
1,1,300,1000,-85.1,22.66
0.01,1,100,3,-85.14,22.51
1,1,300,3,-85.17,21.18
0.1,0.97,100,1000,-85.22,15.94
0.01,1,200,1000,-85.34,20.58
1,1,200,1000,-85.55,21.85
0.1,1,300,1000,-85.57,26.21
0.03,0.97,200,1000,-85.6,22.39
0.1,0.97,300,3,-85.68,26.88
0.01,1,200,3,-85.86,20.46
0.01,0.97,300,1000,-85.94,18.62
0.03,1,200,3,-87.02,21.13
1,1,200,3,-88.29,25.1
